Meter,SampleDate,SampleId,Region,SiteCode,TidalHeight,Transect,Blade,LongestBladeLength,LongestBladeWidth,SheathLength,ScannedBladeLength,ScannedBladeWidth,PrevalenceHand,GrazingScars,BrokenTip,EpiphyteDryMass,BladeAreaHand,Notes,Year,NumberLeaves,Prevalence,LesionArea,HealthyArea,BladeArea,Severity,EpiphytePerAreagcm2,EpiphytePerAreamgcm2,CanopyHeight,Epifauna_all,Epifauna_large,TempAnomWarm_April,TempAnomWarm_May,EpiphytePerAreaMeadowMg,TempAnomWarm_June,MonthlyMeanTemp_June,DensityLog,Ampithoid_all,Ampithoid_large,Lacuna_all,Lacuna_large,Idoteid_all,Idoteid_large,Latitude,Richness_all,Richness_large,TidalHeightBinary,YearBinary,Meadow
m4,2019-07-14,AK.A.3.U.16,AK,A,U,3,16,314,2,17,307,2,NA,0,Y,0.00100000000000011,6.14,NA,2019,NA,1,1.687017984,4.347702784,6.14,0.274758629315961,1.6286644951141858e-4,0.16286644951141857,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m8,2019-07-14,AK.A.3.U.17,AK,A,U,3,17,160,1.3,30,145,1.1,NA,0,N,0,1.595,NA,2019,NA,0,0,1.266414054,1.595,0,0,0,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m12,2019-07-14,AK.A.3.U.18,AK,A,U,3,18,137,1.8,5,136,1.5,NA,0,N,0.001,2.04,NA,2019,NA,0,0,1.536239853,2.04,0,4.901960784313725e-4,0.49019607843137253,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m16,2019-07-14,AK.A.3.U.19,AK,A,U,3,19,301,1.7,15,271,1.2,NA,0,N,0.001,3.252,NA,2019,NA,1,0.3813228736,4.140061504,4.5213843776,0.0843376368284818,2.2117119812998756e-4,0.22117119812998756,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m20,2019-07-14,AK.A.3.U.20,AK,A,U,3,20,297,1.6,65,239,2,NA,0,N,0.001,4.78,NA,2019,NA,0,0,3.55686816,4.78,0,2.0920502092050208e-4,0.20920502092050208,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m4,2019-07-14,AK.A.4.L.16,AK,A,L,4,16,144,3,35,144,3,NA,3,N,0.00600000000000001,4.32,NA,2019,NA,1,5.201315187,7.038446131,12.239761318,0.424952337865515,4.90205637521404e-4,0.490205637521404,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m8,2019-07-14,AK.A.4.L.17,AK,A,L,4,17,275,2,20,257,2,NA,0,N,0.002,5.14,NA,2019,NA,1,10.23766792,15.05636584,25.29403376,0.404746353117859,7.907002967485562e-5,0.07907002967485562,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m12,2019-07-14,AK.A.4.L.18,AK,A,L,4,18,259,2,17,256,2,NA,0,N,0,5.12,NA,2019,NA,1,3.632050483,17.48898681,21.121037293,0.171963641397657,0,0,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m16,2019-07-14,AK.A.4.L.19,AK,A,L,4,19,263,2,4,136,2,NA,1,Y,0.002,2.72,NA,2019,NA,1,5.943592314,5.838710995,11.782303309,0.504450798636286,1.6974609696834787e-4,0.16974609696834786,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m20,2019-07-14,AK.A.4.L.20,AK,A,L,4,20,220,2,4,199,2,NA,0,Y,0.00600000000000001,3.98,NA,2019,NA,1,3.822343379,10.19923181,14.021575189,0.272604420507522,4.2791197986849874e-4,0.4279119798684987,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m4,2019-07-14,AK.A.5.L.16,AK,A,L,5,16,904,5,80,520,5,NA,0,Y,0.005,26,NA,2019,NA,0,0,26.43965632,26.43965632,0,1.8910987115281836e-4,0.18910987115281835,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m8,2019-07-14,AK.A.5.L.17,AK,A,L,5,17,817,6,37,714,6,NA,2,Y,0.00700000000000001,42.84,NA,2019,NA,1,2.645817325,34.62029129,42.84,0.0617604417600373,1.6339869281045772e-4,0.1633986928104577,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m12,2019-07-14,AK.A.5.L.18,AK,A,L,5,18,456,6,68,456,6,NA,3,Y,0.015,27.36,NA,2019,NA,0,0,26.60102326,27.36,0,5.482456140350877e-4,0.5482456140350876,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m16,2019-07-14,AK.A.5.L.19,AK,A,L,5,19,916,5,115,495,5,NA,0,Y,0.00700000000000001,24.75,NA,2019,NA,1,0.315147328,18.50355267,24.75,0.0127332253737374,2.828282828282832e-4,0.2828282828282832,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m20,2019-07-14,AK.A.5.L.20,AK,A,L,5,20,668,5,57,461,4,NA,1,Y,0.00900000000000001,18.44,NA,2019,NA,0,0,17.8341028,18.44,0,4.8806941431670333e-4,0.4880694143167033,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m4,2019-07-14,AK.A.6.L.16,AK,A,L,6,16,606,3,111,606,3,NA,1,N,0.002,18.18,NA,2019,NA,1,1.204355379,16.61671366,18.18,0.0662461704620462,1.1001100110011002e-4,0.11001100110011001,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m8,2019-07-14,AK.A.6.L.17,AK,A,L,6,17,491,3,109,397,3,NA,2,N,0.004,11.91,NA,2019,NA,1,7.595320269,4.326776858,11.922097127,0.637079214176075,3.355114421053651e-4,0.3355114421053651,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m12,2019-07-14,AK.A.6.L.18,AK,A,L,6,18,492,2,140,353,2,NA,0,N,0.005,7.06,NA,2019,NA,1,0.92674528,5.735213952,7.06,0.131267036827195,7.08215297450425e-4,0.708215297450425,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m16,2019-07-14,AK.A.6.L.19,AK,A,L,6,19,488,2,130,488,2,NA,0,N,0.00800000000000001,9.76,NA,2019,NA,1,0.034876544,11.24435958,11.279236124,0.00309210159416643,7.092678894253824e-4,0.7092678894253824,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m20,2019-07-14,AK.A.6.L.20,AK,A,L,6,20,247,2,62,247,2,NA,0,Y,0.003,4.94,NA,2019,NA,0,0,3.766936416,4.94,0,6.072874493927125e-4,0.6072874493927125,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,0,0,AK_A
m4,2019-07-15,AK.B.1.U.16,AK,B,U,1,16,499,4,75,499,5,NA,4,N,0.004,24.95,NA,2019,NA,1,1.846982669,18.29778106,24.95,0.0740273614829659,1.6032064128256515e-4,0.16032064128256515,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m8,2019-07-15,AK.B.1.U.17,AK,B,U,1,17,622,6,39,611,6,NA,1,N,0.001,36.66,NA,2019,NA,1,0.247911104,30.19713652,36.66,0.00676244146208402,2.7277686852154942e-5,0.027277686852154943,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m12,2019-07-15,AK.B.1.U.18,AK,B,U,1,18,651,5.5,33,651,5.5,NA,4,N,0.005,35.805,NA,2019,NA,1,0.718744448,29.93538266,35.805,0.0200738569473537,1.3964530093562352e-4,0.13964530093562352,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m16,2019-07-15,AK.B.1.U.19,AK,B,U,1,19,574,5,32,525,5.5,NA,3,Y,0.00600000000000001,28.875,NA,2019,NA,1,1.895378368,23.22278053,28.875,0.0656408092813853,2.0779220779220813e-4,0.20779220779220814,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m20,2019-07-15,AK.B.1.U.20,AK,B,U,1,20,352,5,27,352,5,NA,2,N,0.001,17.6,NA,2019,NA,1,0.134472448,13.16684817,17.6,0.00764048,5.681818181818182e-5,0.056818181818181816,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m4,2019-07-15,AK.B.2.U.16,AK,B,U,2,16,641,5,22,451,5,NA,3,N,0.003,22.55,NA,2019,NA,0,0,19.45927784,22.55,0,1.3303769401330377e-4,0.13303769401330376,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m8,2019-07-15,AK.B.2.U.17,AK,B,U,2,17,751,5,56,751,5,NA,4,N,0.004,37.55,NA,2019,NA,1,1.024327693,28.87493797,37.55,0.02727903310253,1.0652463382157125e-4,0.10652463382157125,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m12,2019-07-15,AK.B.2.U.18,AK,B,U,2,18,754,5,112,754,5,NA,3,N,0.003,37.7,NA,2019,NA,1,1.362342528,33.92612222,37.7,0.0361364065782493,7.957559681697613e-5,0.07957559681697612,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m16,2019-07-15,AK.B.2.U.19,AK,B,U,2,19,666,5,178,666,5,NA,0,N,0.004,33.3,NA,2019,NA,0,0,29.93097815,33.3,0,1.2012012012012013e-4,0.12012012012012013,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m20,2019-07-15,AK.B.2.U.20,AK,B,U,2,20,695,6,167,695,6,NA,0,N,0.004,41.7,NA,2019,NA,1,0.1365938048,34.78439082,41.7,0.00327563081055156,9.592326139088728e-5,0.09592326139088729,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m4,2019-07-15,AK.B.3.U.16,AK,B,U,3,16,871,6,45,852,6,NA,5,N,0.012,51.12,NA,2019,NA,0,0,38.63841073,51.12,0,2.347417840375587e-4,0.23474178403755872,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m8,2019-07-15,AK.B.3.U.17,AK,B,U,3,17,837,7,67,837,7,NA,0,N,0.005,58.59,NA,2019,NA,0,0,51.76196884,58.59,0,8.533879501621436e-5,0.08533879501621436,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m12,2019-07-15,AK.B.3.U.18,AK,B,U,3,18,796,6,175,796,6,NA,4,N,0.005,47.76,NA,2019,NA,1,0.328630528,39.04743709,47.76,0.00688087370184255,1.0469011725293132e-4,0.10469011725293133,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m16,2019-07-15,AK.B.3.U.19,AK,B,U,3,19,299,4,34,255,4,NA,0,N,0.04,10.2,NA,2019,NA,0,0,6.580574637,10.2,0,0.00392156862745098,3.9215686274509802,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m20,2019-07-15,AK.B.3.U.20,AK,B,U,3,20,678,5,164,678,3,NA,2,N,0,20.34,NA,2019,NA,1,0.3625003264,22.57634199,22.9388423164,0.015802904148342,0,0,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,1,0,AK_B
m4,2019-07-15,AK.B.4.L.16,AK,B,L,4,16,199,3,26,40,3,NA,0,Y,0.001,1.2,NA,2019,NA,0,0,0.9680757824,1.2,0,8.333333333333334e-4,0.8333333333333334,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,0,0,AK_B
m8,2019-07-15,AK.B.4.L.17,AK,B,L,4,17,404,5,36,182,4,NA,1,Y,0.004,7.28,NA,2019,NA,1,0.224899776,7.361881133,7.586780909,0.0296436365696559,5.272328340541514e-4,0.5272328340541513,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,0,0,AK_B
m12,2019-07-15,AK.B.4.L.18,AK,B,L,4,18,574,4,25,535,4,NA,0,N,0.004,21.4,NA,2019,NA,0,0,19.44297215,21.4,0,1.869158878504673e-4,0.1869158878504673,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,0,0,AK_B
m16,2019-07-15,AK.B.4.L.19,AK,B,L,4,19,949,8,122,949,8,NA,0,N,0.01,75.92,NA,2019,NA,0,0,66.55194261,75.92,0,1.3171759747102212e-4,0.13171759747102213,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,0,0,AK_B
m20,2019-07-15,AK.B.4.L.20,AK,B,L,4,20,429,3,75,330,3,NA,0,N,0.003,9.9,NA,2019,NA,0,0,8.939127891,9.9,0,3.0303030303030303e-4,0.30303030303030304,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,0,0,AK_B
m4,2019-07-15,AK.B.5.L.16,AK,B,L,5,16,904,6,233,819,6,NA,0,N,0.001,49.14,NA,2019,NA,0,0,41.63103394,49.14,0,2.035002035002035e-5,0.02035002035002035,0.7422666666666666,-0.13070140473523417,-0.4037966956525435,8.85541414141415,6.144070707070671,0.30070232715657336,12.9115252525251,11.4032,2.3321016669697596,-2,-2,-0.9190542349863076,-1.0585177786600788,-1.8122817180235788,-1.8122817180235788,55.73959433333333,26,25,0,0,AK_B
